words,nonwords,mask,corr_ans,category,tweets,topic,AMP_prac_loop.thisRepN,AMP_prac_loop.thisTrialN,AMP_prac_loop.thisN,AMP_prac_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_prac_loop.thisRepN,LDT_prac_loop.thisTrialN,LDT_prac_loop.thisN,LDT_prac_loop.thisIndex,LDT_loop.thisRepN,LDT_loop.thisTrialN,LDT_loop.thisN,LDT_loop.thisIndex,tweet_loop.thisRepN,tweet_loop.thisTrialN,tweet_loop.thisN,tweet_loop.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,key_resp_AMP_instr1.rt,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP_prac.keys,resp_AMP_prac.rt,task,keypress,RT,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP.keys,resp_AMP.corr,resp_AMP.rt,corr,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,LDT_rating.response,LDT_rating.rt,key_resp_LDT_instr_2.keys,key_resp_LDT_instr_2.rt,resp_tweets.keys,resp_tweets.rt,participant,date,expName,psychopyVersion,frameRate,
crime,pullness,&&&&&&&&,right,fairness.vice,,,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,AMP,left,0.11694122583139688,,,left,0,0.11694122583139688,0,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
commitment,ugeasily,&&&&&&&&,left,sanctity.virtue,,,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,AMP,left,0.2836568560451269,,,left,1,0.2836568560451269,1,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
promises,disregord,&&&&&&&&&,left,fairness.virtue,,,,,,,0,33,33,33,,,,,,,,,,,,,,,,,,,,,AMP,left,0.38369284092914313,,,left,1,0.38369284092914313,1,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
powerful,imebreaker,&&&&&&&&&&,left,authority.virtue,,,,,,,0,34,34,34,,,,,,,,,,,,,,,,,,,,,AMP,right,0.43369784427341074,,,right,0,0.43369784427341074,0,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
fear,uller,&&&&&,right,sanctity.vice,,,,,,,0,35,35,35,,,,,,,,,,,,,,,,,,,,,AMP,right,0.4336895054439083,,,right,1,0.4336895054439083,1,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
strong,vurtain,&&&&&&&,left,loyalty.virtue,,,,,,,0,36,36,36,,,,,,,,,,,,,,,,,,,,,AMP,left,0.33369072421919554,,,left,1,0.33369072421919554,1,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
prones,Lacedonia,&&&&&&&&&,None,nonword,,,,,,,0,37,37,37,,,,,,,,,,,,,,,,,,,,,AMP,right,0.11694058438297361,,,right,0,0.11694058438297361,0,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
help,smapper,&&&&&&&,left,care.virtue,,,,,,,0,38,38,38,,,,,,,,,,,,,,,,,,,,,AMP,left,0.01691357954405248,,,left,1,0.01691357954405248,1,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
injured,strofe,&&&&&&,right,care.vice,,,,,,,0,39,39,39,,,,,,,,,,,,,,,,,,,,,AMP,left,0.28363953705411404,,,left,0,0.28363953705411404,0,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
gournful,hasks,&&&&&,None,nonword,,,,,,,0,40,40,40,,,,,,,,,,,,,,,,,,,,,AMP,left,0.0669256387045607,,,left,0,0.0669256387045607,0,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
peace,brotesque,&&&&&&&&&,left,care.virtue,,,,,,,0,41,41,41,,,,,,,,,,,,,,,,,,,,,AMP,right,0.1336129812989384,,,right,0,0.1336129812989384,0,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
support,crinking,&&&&&&&&,left,loyalty.virtue,,,,,,,0,42,42,42,,,,,,,,,,,,,,,,,,,,,AMP,right,0.050260297721251845,,,right,0,0.050260297721251845,0,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
credit,tove,&&&&,left,fairness.virtue,,,,,,,0,43,43,43,,,,,,,,,,,,,,,,,,,,,AMP,right,0.6837667993968353,,,right,0,0.6837667993968353,0,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
improve,yane,&&&&,left,care.virtue,,,,,,,0,44,44,44,,,,,,,,,,,,,,,,,,,,,AMP,right,0.500376848038286,,,right,0,0.500376848038286,0,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
ability,chadows,&&&&&&&,left,authority.virtue,,,,,,,0,45,45,45,,,,,,,,,,,,,,,,,,,,,AMP,right,0.40034888102672994,,,right,0,0.40034888102672994,0,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
arrests,glacenta,&&&&&&&&,right,authority.vice,,,,,,,0,46,46,46,,,,,,,,,,,,,,,,,,,,,AMP,right,0.40037838742136955,,,right,1,0.40037838742136955,1,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
killed,forepo,&&&&&&,right,care.vice,,,,,,,0,47,47,47,,,,,,,,,,,,,,,,,,,,,AMP,left,0.050250034662894905,,,left,0,0.050250034662894905,0,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
drug,unreflectuve,&&&&&&&&&&&&,right,sanctity.vice,,,,,,,0,48,48,48,,,,,,,,,,,,,,,,,,,,,AMP,right,0.33367116015870124,,,right,1,0.33367116015870124,1,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
celebrated,photocalkodes,&&&&&&&&&&&&&,left,authority.virtue,,,,,,,0,49,49,49,,,,,,,,,,,,,,,,,,,,,AMP,left,0.05027569236699492,,,left,1,0.05027569236699492,1,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
seachwear,crilfully,&&&&&&&&&,None,nonword,,,,,,,0,50,50,50,,,,,,,,,,,,,,,,,,,,,AMP,left,0.4837034889496863,,,left,0,0.4837034889496863,0,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
slavery,gusinesslike,&&&&&&&&&&&&,right,loyalty.vice,,,,,,,0,51,51,51,,,,,,,,,,,,,,,,,,,,,AMP,right,0.6170900407014415,,,right,1,0.6170900407014415,1,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
men,sidearbs,&&&&&&&&,right,loyalty.vice,,,,,,,0,52,52,52,,,,,,,,,,,,,,,,,,,,,AMP,left,0.5170511692995206,,,left,0,0.5170511692995206,0,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
betrayal,sgrawl,&&&&&&,right,loyalty.vice,,,,,,,0,53,53,53,,,,,,,,,,,,,,,,,,,,,AMP,right,0.15030782867688686,,,right,1,0.15030782867688686,1,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
threatened,sickyay,&&&&&&&,right,fairness.vice,,,,,,,0,54,54,54,,,,,,,,,,,,,,,,,,,,,AMP,left,0.1002758847316727,,,left,0,0.1002758847316727,0,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
forced,slending,&&&&&&&&,right,fairness.vice,,,,,,,0,55,55,55,,,,,,,,,,,,,,,,,,,,,AMP,right,0.41705174650996923,,,right,1,0.41705174650996923,1,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
rejected,epigrach,&&&&&&&&,right,authority.vice,,,,,,,0,56,56,56,,,,,,,,,,,,,,,,,,,,,AMP,left,0.38365756161510944,,,left,0,0.38365756161510944,0,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
army,tabin,&&&&&,right,loyalty.vice,,,,,,,0,57,57,57,,,,,,,,,,,,,,,,,,,,,AMP,left,0.05031417892314494,,,left,0,0.05031417892314494,0,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
corruption,abointment,&&&&&&&&&&,right,sanctity.vice,,,,,,,0,58,58,58,,,,,,,,,,,,,,,,,,,,,AMP,right,0.30033566732890904,,,right,1,0.30033566732890904,1,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
unpleasant,ecgagement,&&&&&&&&&&,None,control,,,,,,,0,59,59,59,,,,,,,,,,,,,,,,,,,,,AMP,left,0.35032912460155785,,,left,0,0.35032912460155785,0,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
violence,infet,&&&&&,right,care.vice,,,,,,,0,60,60,60,,,,,,,,,,,,,,,,,,,,,AMP,left,0.016912617371417582,,,left,0,0.016912617371417582,0,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
bluently,brudent,&&&&&&&,None,nonword,,,,,,,0,61,61,61,,,,,,,,,,,,,,,,,,,,,AMP,right,0.18367250717710704,,,right,0,0.18367250717710704,0,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
synchronazers,mecan,&&&&&,None,nonword,,,,,,,0,62,62,62,,,,,,,,,,,,,,,,,,,,,AMP,left,0.11694924382027239,,,left,0,0.11694924382027239,0,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
peaceful,proached,&&&&&&&&,left,authority.virtue,,,,,,,0,63,63,63,,,,,,,,,,,,,,,,,,,,,AMP,right,0.1002717154333368,,,right,0,0.1002717154333368,0,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
prosecution,Boeinf,&&&&&&,right,authority.vice,,,,,,,0,64,64,64,,,,,,,,,,,,,,,,,,,,,AMP,left,0.00028864946216344833,,,left,0,0.00028864946216344833,0,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
protesters,fontacts,&&&&&&&&,right,authority.vice,,,,,,,0,65,65,65,,,,,,,,,,,,,,,,,,,,,AMP,left,0.11692935915198177,,,left,0,0.11692935915198177,0,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
critics,pistraught,&&&&&&&&&&,right,loyalty.vice,,,,,,,0,66,66,66,,,,,,,,,,,,,,,,,,,,,AMP,right,0.7670999189140275,,,right,1,0.7670999189140275,1,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
benefit,refuejing,&&&&&&&&&,left,fairness.virtue,,,,,,,0,67,67,67,,,,,,,,,,,,,,,,,,,,,AMP,right,0.18367122439667583,,,right,0,0.18367122439667583,0,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
attacks,idexpressible,&&&&&&&&&&&&&,right,care.vice,,,,,,,0,68,68,68,,,,,,,,,,,,,,,,,,,,,AMP,right,0.01692352199461311,,,right,1,0.01692352199461311,1,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
death,dramens,&&&&&&&,right,care.vice,,,,,,,0,69,69,69,,,,,,,,,,,,,,,,,,,,,AMP,right,0.18361766380257905,,,right,1,0.18361766380257905,1,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
