words,nonwords,mask,corr_ans,category,tweets,topic,AMP_pracloop.thisRepN,AMP_pracloop.thisTrialN,AMP_pracloop.thisN,AMP_pracloop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_pracloop.thisRepN,LDT_pracloop.thisTrialN,LDT_pracloop.thisN,LDT_pracloop.thisIndex,LDT_trials.thisRepN,LDT_trials.thisTrialN,LDT_trials.thisN,LDT_trials.thisIndex,tweet_loop.thisRepN,tweet_loop.thisTrialN,tweet_loop.thisN,tweet_loop.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,key_resp_AMP_instr1.rt,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP_prac.keys,resp_AMP_prac.rt,task,keypress,RT,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP.keys,resp_AMP.corr,resp_AMP.rt,corr,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,LDT_rating.response,LDT_rating.rt,key_resp_LDT_instr_2.keys,key_resp_LDT_instr_2.rt,resp_tweets.keys,resp_tweets.rt,participant,date,expName,psychopyVersion,frameRate,
restore,nomaric,&&&&&&&,left,care.virtue,,,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,AMP,left,0.6003914752936907,,,left,1,0.6003914752936907,1,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
freedom,dormandi,&&&&&&&&,left,sanctity.virtue,,,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,AMP,left,0.36700022995887593,,,left,1,0.36700022995887593,1,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
free,vurtain,&&&&&&&,left,fairness.virtue,,,,,,,0,33,33,33,,,,,,,,,,,,,,,,,,,,,AMP,left,0.2836348509870277,,,left,1,0.2836348509870277,1,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
values,supervuned,&&&&&&&&&&,left,sanctity.virtue,,,,,,,0,34,34,34,,,,,,,,,,,,,,,,,,,,,AMP,left,0.7504413959304657,,,left,1,0.7504413959304657,1,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
men,chared,&&&&&&,right,loyalty.vice,,,,,,,0,35,35,35,,,,,,,,,,,,,,,,,,,,,AMP,left,0.4170100280666702,,,left,0,0.4170100280666702,0,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
protesters,letish,&&&&&&,right,authority.vice,,,,,,,0,36,36,36,,,,,,,,,,,,,,,,,,,,,AMP,left,0.3170186555330474,,,left,0,0.3170186555330474,0,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
groups,sowntrodden,&&&&&&&&&&&,right,loyalty.vice,,,,,,,0,37,37,37,,,,,,,,,,,,,,,,,,,,,AMP,right,0.5170453397411165,,,right,1,0.5170453397411165,1,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
loyalty,simplustic,&&&&&&&&&&,left,loyalty.virtue,,,,,,,0,38,38,38,,,,,,,,,,,,,,,,,,,,,AMP,right,0.2002851874742646,,,right,0,0.2002851874742646,0,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
pleasant,ning,&&&&,None,control,,,,,,,0,39,39,39,,,,,,,,,,,,,,,,,,,,,AMP,right,0.1502914255493124,,,right,0,0.1502914255493124,0,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
ablow,hescribe,&&&&&&&&,None,nonword,,,,,,,0,40,40,40,,,,,,,,,,,,,,,,,,,,,AMP,left,0.08360495954229918,,,left,0,0.08360495954229918,0,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
