,word,category,correct_amp,correct_ldt,mask
49,love,loyalty.virtue,left,left,&&&&
50,intelligence,loyalty.virtue,left,left,&&&&&&&&&&&&
51,strong,loyalty.virtue,left,left,&&&&&&
52,friends,loyalty.virtue,left,left,&&&&&&&
53,party,loyalty.virtue,left,left,&&&&&
54,great,loyalty.virtue,left,left,&&&&&
55,loyalty,loyalty.virtue,left,left,&&&&&&&
56,hope,loyalty.virtue,left,left,&&&&
57,promised,loyalty.virtue,left,left,&&&&&&&&
58,praised,loyalty.virtue,left,left,&&&&&&&
59,sharing,loyalty.virtue,left,left,&&&&&&&
60,terrorist,loyalty.vice,right,left,&&&&&&&&&
61,ban,loyalty.vice,right,left,&&&
62,groups,loyalty.vice,right,left,&&&&&&
63,failure,loyalty.vice,right,left,&&&&&&&
64,black,loyalty.vice,right,left,&&&&&
65,troops,loyalty.vice,right,left,&&&&&&
66,slavery,loyalty.vice,right,left,&&&&&&&
67,blamed,loyalty.vice,right,left,&&&&&&
68,men,loyalty.vice,right,left,&&&
69,army,loyalty.vice,right,left,&&&&
70,betrayal,loyalty.vice,right,left,&&&&&&&&
71,critics,loyalty.vice,right,left,&&&&&&&
72,trust,authority.virtue,left,left,&&&&&
73,useful,authority.virtue,left,left,&&&&&&
74,actively,authority.virtue,left,left,&&&&&&&&
75,embrace,authority.virtue,left,left,&&&&&&&
76,praise,authority.virtue,left,left,&&&&&&
77,powerful,authority.virtue,left,left,&&&&&&&&
78,honored,authority.virtue,left,left,&&&&&&&
79,celebrated,authority.virtue,left,left,&&&&&&&&&&
80,ability,authority.virtue,left,left,&&&&&&&
81,progress,authority.virtue,left,left,&&&&&&&&
82,encourage,authority.virtue,left,left,&&&&&&&&&
83,peaceful,authority.virtue,left,left,&&&&&&&&
84,police,authority.vice,right,left,&&&&&&
85,officers,authority.vice,right,left,&&&&&&&&
86,gun,authority.vice,right,left,&&&
87,penalty,authority.vice,right,left,&&&&&&&
88,rebels,authority.vice,right,left,&&&&&&
89,rejected,authority.vice,right,left,&&&&&&&&
90,protesters,authority.vice,right,left,&&&&&&&&&&
91,fighters,authority.vice,right,left,&&&&&&&&
92,prosecution,authority.vice,right,left,&&&&&&&&&&&
93,riot,authority.vice,right,left,&&&&
94,refused,authority.vice,right,left,&&&&&&&
95,arrests,authority.vice,right,left,&&&&&&&
96,values,sanctity.virtue,left,left,&&&&&&
97,freedom,sanctity.virtue,left,left,&&&&&&&
98,respect,sanctity.virtue,left,left,&&&&&&&
99,commitment,sanctity.virtue,left,left,&&&&&&&&&&
100,strength,sanctity.virtue,left,left,&&&&&&&&
101,promote,sanctity.virtue,left,left,&&&&&&&
102,clean,sanctity.virtue,left,left,&&&&&
103,faith,sanctity.virtue,left,left,&&&&&
104,hand,sanctity.virtue,left,left,&&&&
105,dignity,sanctity.virtue,left,left,&&&&&&&
106,perfect,sanctity.virtue,left,left,&&&&&&&
107,energy,sanctity.virtue,left,left,&&&&&&
108,abuse,sanctity.vice,right,left,&&&&&
109,racist,sanctity.vice,right,left,&&&&&&
110,sexual,sanctity.vice,right,left,&&&&&&
111,war,sanctity.vice,right,left,&&&
112,serial,sanctity.vice,right,left,&&&&&&
113,drug,sanctity.vice,right,left,&&&&
114,fear,sanctity.vice,right,left,&&&&
115,scandal,sanctity.vice,right,left,&&&&&&&
116,corruption,sanctity.vice,right,left,&&&&&&&&&&
117,conspiracy,sanctity.vice,right,left,&&&&&&&&&&
118,harassment,sanctity.vice,right,left,&&&&&&&&&&
119,violations,sanctity.vice,right,left,&&&&&&&&&&
120,latterly,neutral,,left,&&&&&&&&
121,hereby,neutral,,left,&&&&&&
122,forty,neutral,,left,&&&&&
123,although,neutral,,left,&&&&&&&&
124,whereafter,neutral,,left,&&&&&&&&&&
125,also,neutral,,left,&&&&
126,wherever,neutral,,left,&&&&&&&&
127,either,neutral,,left,&&&&&&
128,about,neutral,,left,&&&&&
129,everything,neutral,,left,&&&&&&&&&&
130,three,neutral,,left,&&&&&
131,fifty,neutral,,left,&&&&&
132,hence,neutral,,left,&&&&&
133,amount,neutral,,left,&&&&&&
134,latter,neutral,,left,&&&&&&
135,amoungst,neutral,,left,&&&&&&&&
136,whither,neutral,,left,&&&&&&&
137,each,neutral,,left,&&&&
138,thru,neutral,,left,&&&&
139,could,neutral,,left,&&&&&
140,myself,neutral,,left,&&&&&&
141,fifteen,neutral,,left,&&&&&&&
142,eight,neutral,,left,&&&&&
143,less,neutral,,left,&&&&
144,elsewhere,neutral,,left,&&&&&&&&&
145,couldnt,neutral,,left,&&&&&&&
146,besides,neutral,,left,&&&&&&&
147,even,neutral,,left,&&&&
148,both,neutral,,left,&&&&
149,towards,neutral,,left,&&&&&&&
150,give,neutral,,left,&&&&
151,done,neutral,,left,&&&&
152,noone,neutral,,left,&&&&&
153,therefore,neutral,,left,&&&&&&&&&
154,with,neutral,,left,&&&&
