,category,corr_ans,mask,words
137,nonword,left,&&&&&&&,splysed
138,nonword,left,&&&&&,koozz
139,nonword,left,&&&&&,choes
140,nonword,left,&&&&&&,shypse
141,nonword,left,&&&&&,beest
142,nonword,left,&&&&&,feuld
143,nonword,left,&&&&&&&&,rhoalled
144,nonword,left,&&&&&&,sweede
145,nonword,left,&&&&&&&&,soughste
146,nonword,left,&&&&&,naidd
147,nonword,left,&&&&&,bipht
148,nonword,left,&&&&&,fourz
149,nonword,left,&&&&&&&,gryssed
150,nonword,left,&&&&&&&,thripht
151,nonword,left,&&&&&&&,preighs
152,nonword,left,&&&&&&,stryct
153,nonword,left,&&&&&&&&,pheassed
154,nonword,left,&&&&&,noost
155,nonword,left,&&&&&&,freazz
156,nonword,left,&&&&&,phlux
157,nonword,left,&&&&&&&,spauned
158,nonword,left,&&&&&,laudd
159,nonword,left,&&&&&&&,stealde
160,nonword,left,&&&&&,prous
161,nonword,left,&&&&&,doars
162,nonword,left,&&&&&,winze
163,nonword,left,&&&&&,snauz
164,nonword,left,&&&&&&&&,creinned
165,nonword,left,&&&&&&,feulde
166,nonword,left,&&&&&,treas
167,nonword,left,&&&&&&&,psypped
168,nonword,left,&&&&&&,stourz
169,nonword,left,&&&&&,cande
170,nonword,left,&&&&&&&,wrantse
171,nonword,left,&&&&&,jogns
172,nonword,left,&&&&&&,spynze
173,nonword,left,&&&&&&&&&,wheighlde
174,nonword,left,&&&&&&&,slypped
175,nonword,left,&&&&&,coacs
176,nonword,left,&&&&&&&,skypped
177,nonword,left,&&&&&&&,roossed
178,nonword,left,&&&&&&,drighs
179,nonword,left,&&&&&,wence
180,nonword,left,&&&&&&&,bluphte
181,nonword,left,&&&&&&,psyncs
182,nonword,left,&&&&&,wepte
183,nonword,left,&&&&&&&&&,spreussed
184,nonword,left,&&&&&&,yealde
185,nonword,left,&&&&&&&,phlaide
186,nonword,left,&&&&&,jipte
187,nonword,left,&&&&&&&,lighnde
188,nonword,left,&&&&&,sharz
189,nonword,left,&&&&&&,sneaze
190,nonword,left,&&&&&&,knapps
191,nonword,left,&&&&&&&,troalde
192,nonword,left,&&&&&&&,yeussed
193,nonword,left,&&&&&&&,peighld
194,nonword,left,&&&&&&,ailled
195,nonword,left,&&&&&,daizz
196,nonword,left,&&&&&&,treize
197,nonword,left,&&&&&,crict
198,nonword,left,&&&&&&,dynned
199,nonword,left,&&&&&&&,scourld
