,category,corr_ans,masks,words,symbols
244,care.vice,right,&&&&&&&&&,civilians,images/symbols/symbol_71.png
245,loyalty.vice,right,&&&&&&&,slavery,images/symbols/symbol_8.png
246,sanctity.virtue,left,&&&&&&&&&&,commitment,images/symbols/symbol_30.png
247,nonword,,&&&&&&,knewed,images/symbols/symbol_81.png
248,nonword,,&&&&&,beest,images/symbols/symbol_11.png
249,loyalty.vice,right,&&&&&&,blamed,images/symbols/symbol_2.png
250,nonword,,&&&&&,choes,images/symbols/symbol_8.png
251,care.vice,right,&&&&&&&&&,civilians,images/symbols/symbol_76.png
252,authority.vice,right,&&&&&&&&,officers,images/symbols/symbol_29.png
253,sanctity.virtue,left,&&&&,hand,images/symbols/symbol_70.png
254,fairness.vice,right,&&&&,lies,images/symbols/symbol_31.png
255,fairness.virtue,left,&&&&&&&&&,integrity,images/symbols/symbol_58.png
256,care.virtue,left,&&&&&,peace,images/symbols/symbol_52.png
257,nonword,,&&&&&&&,pseighs,images/symbols/symbol_13.png
258,authority.vice,right,&&&&,riot,images/symbols/symbol_22.png
259,authority.vice,right,&&&&&&&,penalty,images/symbols/symbol_21.png
260,sanctity.virtue,left,&&&&&&&,perfect,images/symbols/symbol_60.png
261,sanctity.virtue,left,&&&&&&,values,images/symbols/symbol_5.png
262,care.vice,right,&&&&&&&,victims,images/symbols/symbol_38.png
263,nonword,,&&&&&,rhoas,images/symbols/symbol_68.png
264,fairness.virtue,left,&&&&,free,images/symbols/symbol_3.png
265,fairness.virtue,left,&&&&&&&&&&&,opportunity,images/symbols/symbol_75.png
266,sanctity.vice,right,&&&&&&&&&&,violations,images/symbols/symbol_18.png
267,fairness.vice,right,&&&&&&&&&&,terrorists,images/symbols/symbol_42.png
268,fairness.virtue,left,&&&&,fair,images/symbols/symbol_49.png
269,loyalty.vice,right,&&&,men,images/symbols/symbol_66.png
270,fairness.vice,right,&&&&&&,prison,images/symbols/symbol_73.png
271,care.virtue,left,&&&&,good,images/symbols/symbol_63.png
272,fairness.vice,right,&&&&&&&&&&,threatened,images/symbols/symbol_6.png
273,care.vice,right,&&&&&&,victim,images/symbols/symbol_61.png
274,sanctity.vice,right,&&&&&&&&&&,corruption,images/symbols/symbol_28.png
275,loyalty.vice,right,&&&&&,black,images/symbols/symbol_54.png
276,authority.virtue,left,&&&&&&&,honored,images/symbols/symbol_35.png
277,nonword,,&&&&&,naidd,images/symbols/symbol_69.png
278,authority.virtue,left,&&&&&&&&,actively,images/symbols/symbol_23.png
279,authority.virtue,left,&&&&&&,useful,images/symbols/symbol_7.png
280,authority.vice,right,&&&&&&&,refused,images/symbols/symbol_32.png
281,sanctity.virtue,left,&&&&&&&,respect,images/symbols/symbol_62.png
282,loyalty.virtue,left,&&&&&&&,friends,images/symbols/symbol_26.png
283,loyalty.virtue,left,&&&&&&&&&&&&,intelligence,images/symbols/symbol_67.png
284,nonword,,&&&&&&,ailled,images/symbols/symbol_50.png
285,control,left,&&&&&&&&&,unpleasant,images/symbols/symbol_10.png
286,loyalty.virtue,left,&&&&&&&,support,images/symbols/symbol_64.png
287,care.virtue,left,&&&&&&,growth,images/symbols/symbol_19.png
288,sanctity.vice,right,&&&,war,images/symbols/symbol_12.png
289,authority.virtue,left,&&&&&&,praise,images/symbols/symbol_17.png
290,control,right,&&&&&&&,pleasant,images/symbols/symbol_56.png
291,authority.virtue,left,&&&&&&&&&&,celebrated,images/symbols/symbol_78.png
292,nonword,,&&&&&&,feulde,images/symbols/symbol_55.png
293,fairness.virtue,left,&&&&&&&,benefit,images/symbols/symbol_14.png
294,loyalty.vice,right,&&&&,army,images/symbols/symbol_15.png
295,authority.vice,right,&&&&&&,police,images/symbols/symbol_51.png
296,sanctity.vice,right,&&&&&&,sexual,images/symbols/symbol_45.png
297,loyalty.virtue,left,&&&&&&&&,promised,images/symbols/symbol_46.png
298,authority.vice,right,&&&&&&&&,fighters,images/symbols/symbol_41.png
299,care.virtue,left,&&&&&&&,restore,images/symbols/symbol_36.png
300,fairness.virtue,left,&&&,win,images/symbols/symbol_43.png
301,care.virtue,left,&&&&,care,images/symbols/symbol_80.png
302,care.vice,right,&&&&&,death,images/symbols/symbol_47.png
303,fairness.virtue,left,&&&&&&&,protect,images/symbols/symbol_37.png
304,loyalty.virtue,left,&&&&&&&,sharing,images/symbols/symbol_77.png
305,nonword,,&&&&&,doars,images/symbols/symbol_24.png
306,care.virtue,left,&&&&&&&&,increase,images/symbols/symbol_72.png
307,authority.vice,right,&&&&&&,rebels,images/symbols/symbol_9.png
308,loyalty.virtue,left,&&&&&&&,loyalty,images/symbols/symbol_1.png
309,loyalty.vice,right,&&&&&&&,slavery,images/symbols/symbol_79.png
310,authority.virtue,left,&&&&&&&&,progress,images/symbols/symbol_27.png
311,fairness.vice,right,&&&&&&&,accused,images/symbols/symbol_65.png
312,sanctity.vice,right,&&&&&&,serial,images/symbols/symbol_53.png
