words,masks,symbols,category,corr_ans,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,index,symbol,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,exp_time,resp_logo_rate.keys,keypress_logo_prac.keys,keypress_logo_prac.rt,resp_logo_ready_2.keys,keypress_logo_trial.keys,keypress_logo_trial.rt,symbol_index,resp_AMP_ready1.keys,resp_AMP.keys,resp_AMP.rt,task,keypress,RT,prime_dur,resp_AMP_ready.keys,resp_AMP_3.keys,resp_AMP_3.rt,participant,date,expName,psychopyVersion,frameRate,
progress,&&&&&&&&,images/symbols/symbol_18.png,authority.virtue,left,,,,,,,,,,,0,0,0,0,,,,24.452703497001494,,,,,,,,,,,AMP_prac,right,1.2835199229957652,10,,right,1.0827531780014397,999,2019_Apr_10_1054,mf_amp_cond1,3.0.7,58.51408421675334,
useful,&&&&&&,images/symbols/symbol_5.png,authority.virtue,left,,,,,,,,,,,0,1,1,1,,,,25.798523455996474,,,,,,,,,,,AMP_prac,right,1.2835199229957652,10,,left,1.0834674389989232,999,2019_Apr_10_1054,mf_amp_cond1,3.0.7,58.51408421675334,
attacks,&&&&&&&,images/symbols/symbol_10.png,care.vice,right,,,,,,,,,,,0,2,2,2,,,,27.18089096699987,,,,,,,,,,,AMP_prac,right,1.2835199229957652,10,,right,1.1005323889985448,999,2019_Apr_10_1054,mf_amp_cond1,3.0.7,58.51408421675334,
koozz,&&&&&,images/symbols/symbol_79.png,nonword,None,,,,,,,,,,,0,3,3,3,,,,28.62810121700022,,,,,,,,,,,AMP_prac,right,1.2835199229957652,10,,left,1.1640781419991981,999,2019_Apr_10_1054,mf_amp_cond1,3.0.7,58.51408421675334,
abuse,&&&&&,images/symbols/symbol_17.png,sanctity.vice,right,,,,,,,,,,,0,4,4,4,,,,30.065070160999312,,,,,,,,,,,AMP_prac,right,1.2835199229957652,10,,right,1.1963311420040554,999,2019_Apr_10_1054,mf_amp_cond1,3.0.7,58.51408421675334,
penalty,&&&&&&&,images/symbols/symbol_61.png,authority.vice,right,,,,,,,,,,,0,5,5,5,,,,31.330089750001207,,,,,,,,,,,AMP_prac,right,1.2835199229957652,10,,left,1.0070309889997588,999,2019_Apr_10_1054,mf_amp_cond1,3.0.7,58.51408421675334,
fraud,&&&&&,images/symbols/symbol_4.png,fairness.vice,right,,,,,,,,,,,0,6,6,6,,,,32.5970154759998,,,,,,,,,,,AMP_prac,right,1.2835199229957652,10,,right,0.9993109770002775,999,2019_Apr_10_1054,mf_amp_cond1,3.0.7,58.51408421675334,
ability,&&&&&&&,images/symbols/symbol_46.png,authority.virtue,left,,,,,,,,,,,0,7,7,7,,,,35.16349233299843,,,,,,,,,,,AMP_prac,right,1.2835199229957652,10,,left,2.298783768004796,999,2019_Apr_10_1054,mf_amp_cond1,3.0.7,58.51408421675334,
benefit,&&&&&&&,images/symbols/symbol_2.png,fairness.virtue,left,,,,,,,,,,,0,8,8,8,,,,36.49682068100083,,,,,,,,,,,AMP_prac,right,1.2835199229957652,10,,right,1.095345804002136,999,2019_Apr_10_1054,mf_amp_cond1,3.0.7,58.51408421675334,
naidd,&&&&&,images/symbols/symbol_77.png,nonword,None,,,,,,,,,,,0,9,9,9,,,,37.84769871599565,,,,,,,,,,,AMP_prac,right,1.2835199229957652,10,,left,1.096967809004127,999,2019_Apr_10_1054,mf_amp_cond1,3.0.7,58.51408421675334,
winze,&&&&&,images/symbols/symbol_24.png,nonword,None,,,,,,,,,,,0,10,10,10,,,,39.1606274529986,,,,,,,,,,,AMP_prac,right,1.2835199229957652,10,,right,1.027874289000465,999,2019_Apr_10_1054,mf_amp_cond1,3.0.7,58.51408421675334,
opportunity,&&&&&&&&&&&,images/symbols/symbol_55.png,fairness.virtue,left,,,,,,,,,,,0,11,11,11,,,,40.44701908600109,,,,,,,,,,,AMP_prac,right,1.2835199229957652,10,,left,1.033493417002319,999,2019_Apr_10_1054,mf_amp_cond1,3.0.7,58.51408421675334,
promised,&&&&&&&&,images/symbols/symbol_58.png,loyalty.virtue,left,,,,,,,,,,,0,12,12,12,,,,41.59915805399942,,,,,,,,,,,AMP_prac,right,1.2835199229957652,10,,right,0.8853577609988861,999,2019_Apr_10_1054,mf_amp_cond1,3.0.7,58.51408421675334,
civilians,&&&&&&&&&,images/symbols/symbol_53.png,care.vice,right,,,,,,,,,,,0,13,13,13,,,,42.64732536600059,,,,,,,,,,,AMP_prac,right,1.2835199229957652,10,,left,0.7824213479980244,999,2019_Apr_10_1054,mf_amp_cond1,3.0.7,58.51408421675334,
dignity,&&&&&&&,images/symbols/symbol_74.png,sanctity.virtue,left,,,,,,,,,,,0,14,14,14,,,,43.84716784199554,,,,,,,,,,,AMP_prac,right,1.2835199229957652,10,,right,0.9253943430012441,999,2019_Apr_10_1054,mf_amp_cond1,3.0.7,58.51408421675334,
values,&&&&&&,images/symbols/symbol_9.png,sanctity.virtue,left,,,,,,,,,,,0,15,15,15,,,,45.16302346900193,,,,,,,,,,,AMP_prac,right,1.2835199229957652,10,,left,1.0492149319979944,999,2019_Apr_10_1054,mf_amp_cond1,3.0.7,58.51408421675334,
