either,,,,neutral,left,&&&&&&,,,,,,,,,,,,,,,,,,,,,,,0,0,0,57,,,,,,,,14.304740346000472,,,,,,,,,LDT_prac,None,[],,,,,,,,,,,,,,0,,None,,,,,,,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,15.537,,,,,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
enjoy,,,,care.virtue,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,30,30,24,,,,,,,,,,,,,mem,right,0.08604408799874363,,,,,,,,,,,,,,0,,,,,,right,0,0.08604408799874363,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
growth,,,,care.virtue,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,31,31,17,,,,,,,,,,,,,mem,right,0.052520051001920365,,,,,,,,,,,,,,1,,,,,,right,1,0.052520051001920365,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
promote,,,,sanctity.virtue,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,32,32,66,,,,,,,,,,,,,mem,left,0.2860436849950929,,,,,,,,,,,,,,0,,,,,,left,0,0.2860436849950929,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
hunger,,,,sanctity.vice,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,33,33,77,,,,,,,,,,,,,mem,left,0.06844578600430395,,,,,,,,,,,,,,1,,,,,,left,1,0.06844578600430395,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
officers,,,,authority.vice,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,34,34,92,,,,,,,,,,,,,mem,left,0.08488116700027604,,,,,,,,,,,,,,0,,,,,,left,0,0.08488116700027604,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
interests,,,,fairness.virtue,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,35,35,1,,,,,,,,,,,,,mem,right,0.28649116700398736,,,,,,,,,,,,,,1,,,,,,right,1,0.28649116700398736,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
civilians,,,,care.vice,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,36,36,2,,,,,,,,,,,,,mem,right,0.08565010999882361,,,,,,,,,,,,,,1,,,,,,right,1,0.08565010999882361,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
integrity,,,,fairness.virtue,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,37,37,49,,,,,,,,,,,,,mem,right,0.05167315900325775,,,,,,,,,,,,,,1,,,,,,right,1,0.05167315900325775,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
lies,,,,fairness.vice,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,38,38,45,,,,,,,,,,,,,mem,left,0.2801763900060905,,,,,,,,,,,,,,0,,,,,,left,0,0.2801763900060905,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
ban,,,,loyalty.vice,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,39,39,64,,,,,,,,,,,,,mem,left,0.08552807399973972,,,,,,,,,,,,,,0,,,,,,left,0,0.08552807399973972,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
queighld,,,,nonword,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,40,40,38,,,,,,,,,,,,,mem,left,0.03418706700176699,,,,,,,,,,,,,,1,,,,,,left,1,0.03418706700176699,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
kind,,,,sanctity.virtue,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,41,41,4,,,,,,,,,,,,,mem,left,0.0851669440016849,,,,,,,,,,,,,,1,,,,,,left,1,0.0851669440016849,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
gang,,,,sanctity.vice,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,42,42,42,,,,,,,,,,,,,mem,left,0.034079401004419196,,,,,,,,,,,,,,1,,,,,,left,1,0.034079401004419196,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
encourage,,,,authority.virtue,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,43,43,99,,,,,,,,,,,,,mem,left,0.034864016000938136,,,,,,,,,,,,,,0,,,,,,left,0,0.034864016000938136,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
hostility,,,,loyalty.vice,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,44,44,29,,,,,,,,,,,,,mem,left,0.06903164100367576,,,,,,,,,,,,,,1,,,,,,left,1,0.06903164100367576,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
police,,,,authority.vice,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,45,45,40,,,,,,,,,,,,,mem,right,0.31900855700223474,,,,,,,,,,,,,,1,,,,,,right,1,0.31900855700223474,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
great,,,,loyalty.virtue,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,46,46,55,,,,,,,,,,,,,mem,right,0.052124748995993286,,,,,,,,,,,,,,1,,,,,,right,1,0.052124748995993286,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
generosity,,,,sanctity.virtue,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,47,47,6,,,,,,,,,,,,,mem,right,0.05309552999824518,,,,,,,,,,,,,,0,,,,,,right,0,0.05309552999824518,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
