words,mask,masks,symbols,conditionfile,corr_ans,category,LDT_trials_cond2.thisRepN,LDT_trials_cond2.thisTrialN,LDT_trials_cond2.thisN,LDT_trials_cond2.thisIndex,LDT_pracs_1.thisRepN,LDT_pracs_1.thisTrialN,LDT_pracs_1.thisN,LDT_pracs_1.thisIndex,LDT_trials_1.thisRepN,LDT_trials_1.thisTrialN,LDT_trials_1.thisN,LDT_trials_1.thisIndex,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,memtask_trials.thisRepN,memtask_trials.thisTrialN,memtask_trials.thisN,memtask_trials.thisIndex,LDT_cond1.thisRepN,LDT_cond1.thisTrialN,LDT_cond1.thisN,LDT_cond1.thisIndex,begin_key.keys,begin_key.rt,key_resp_instr.keys,key_resp_instr.rt,exp_time,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,task,keypress,RT,corr,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT_trial.keys,resp_LDT_trial.rt,LDT_rating.response,LDT_rating.rt,resp_sym_rate.keys,resp_sym_rate.rt,sym_resp_1.keys,sym_resp_1.rt,sym_resp_2.keys,sym_resp_2.rt,sym_resp_trial.keys,sym_resp_trial.rt,symbol_index,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP.keys,resp_AMP.rt,prime_dur,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP_trials.keys,resp_AMP_trials.rt,rest_key_resp.keys,rest_key_resp.rt,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_instr_memtask.keys,key_resp_instr_memtask.rt,resp_memtask.keys,resp_memtask.corr,resp_memtask.rt,participant ID,date,expName,psychopyVersion,frameRate,
shypse,,,,,right,nonword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,84,84,45,,,,,,,,,,,,,,mem,left,0.366982384093717,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0,0.366982384093717,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
yacte,,,,,left,nonword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,85,85,82,,,,,,,,,,,,,,mem,left,0.41699267922740546,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,0.41699267922740546,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
appreciated,,,,,left,authority.virtue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,86,86,76,,,,,,,,,,,,,,mem,left,0.38365055814938387,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,0.38365055814938387,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
coup,,,,,left,loyalty.vice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,87,87,46,,,,,,,,,,,,,,mem,left,0.333658223375096,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,0.333658223375096,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
illegal,,,,,right,fairness.vice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,88,88,37,,,,,,,,,,,,,,mem,left,0.7504010612028651,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0,0.7504010612028651,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
sharing,,,,,right,loyalty.virtue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,89,89,47,,,,,,,,,,,,,,mem,left,0.5503351851730258,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0,0.5503351851730258,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
passionate,,,,,left,loyalty.virtue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,90,90,40,,,,,,,,,,,,,,mem,left,0.4670247833710164,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,0.4670247833710164,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
praised,,,,,right,loyalty.virtue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,91,91,75,,,,,,,,,,,,,,mem,left,0.7670788568757416,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0,0.7670788568757416,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
celebrated,,,,,right,authority.virtue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,92,92,5,,,,,,,,,,,,,,mem,left,0.4503299895004602,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0,0.4503299895004602,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
knapps,,,,,right,nonword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,93,93,59,,,,,,,,,,,,,,mem,left,0.4503341588679177,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0,0.4503341588679177,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
pleasant,,,,,right,control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,94,94,60,,,,,,,,,,,,,,mem,left,0.5336933102189505,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0,0.5336933102189505,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
easy,,,,,left,authority.virtue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,95,95,41,,,,,,,,,,,,,,mem,left,1.2171897941552743,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,1.2171897941552743,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
friends,,,,,right,loyalty.virtue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,96,96,50,,,,,,,,,,,,,,mem,left,0.5170187217481725,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0,0.5170187217481725,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
sloaze,,,,,left,nonword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,97,97,18,,,,,,,,,,,,,,mem,left,0.5170302676924621,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,0.5170302676924621,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
ability,,,,,right,authority.virtue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,98,98,54,,,,,,,,,,,,,,mem,left,0.7504164557904005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0,0.7504164557904005,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
good,,,,,right,care.virtue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,99,99,86,,,,,,,,,,,,,,mem,left,0.4336598911213514,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0,0.4336598911213514,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
