words,masks,symbols,conditionfile,corr_ans,category,mask,LDT_trials_cond2.thisRepN,LDT_trials_cond2.thisTrialN,LDT_trials_cond2.thisN,LDT_trials_cond2.thisIndex,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,memtask_trials.thisRepN,memtask_trials.thisTrialN,memtask_trials.thisN,memtask_trials.thisIndex,LDT_cond1.thisRepN,LDT_cond1.thisTrialN,LDT_cond1.thisN,LDT_cond1.thisIndex,LDT_pracs.thisRepN,LDT_pracs.thisTrialN,LDT_pracs.thisN,LDT_pracs.thisIndex,LDT_trials.thisRepN,LDT_trials.thisTrialN,LDT_trials.thisN,LDT_trials.thisIndex,begin_key.keys,begin_key.rt,key_resp_instr.keys,key_resp_instr.rt,exp_time,resp_sym_rate.keys,resp_sym_rate.rt,sym_resp_1.keys,sym_resp_1.rt,sym_resp_2.keys,sym_resp_2.rt,sym_resp_trial.keys,sym_resp_trial.rt,symbol_index,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP.keys,resp_AMP.rt,task,keypress,RT,prime_dur,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP_trials.keys,resp_AMP_trials.rt,rest_key_resp.keys,rest_key_resp.rt,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_instr_memtask.keys,key_resp_instr_memtask.rt,resp_memtask.keys,resp_memtask.corr,resp_memtask.rt,corr,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT_trial.keys,resp_LDT_trial.rt,LDT_rating.response,LDT_rating.rt,participant ID,date,expName,psychopyVersion,frameRate,
yakks,&&&&&,images/symbols/symbol_21.png,condition_files/AMP_rep2.csv,None,nonword,,,,,,,,,,,,,,0,0,0,1,0,11,11,11,,,,,,,,,,,,,,,,,,,,,1279.3713767331574,,,,,,,,,,,,,,AMP_prac,left,0.7337606669025263,3,,,left,0.6162942892733554,,,,,,,,,,,,,,,,,,,,,,,,,1014,2019_May_16_1650,mf_amp_cond1,3.0.7,59.98124347096968,
serial,&&&&&&,images/symbols/symbol_24.png,condition_files/AMP_rep2.csv,right,sanctity.vice,,,,,,,,,,,,,,0,0,0,1,0,12,12,12,,,,,,,,,,,,,,,,,,,,,1280.27162494199,,,,,,,,,,,,,,AMP_prac,left,0.7337606669025263,3,,,right,0.6826724320126232,,,,,,,,,,,,,,,,,,,,,,,,,1014,2019_May_16_1650,mf_amp_cond1,3.0.7,59.98124347096968,
violence,&&&&&&&&,images/symbols/symbol_16.png,condition_files/AMP_rep2.csv,right,care.vice,,,,,,,,,,,,,,0,0,0,1,0,13,13,13,,,,,,,,,,,,,,,,,,,,,1280.9551229193385,,,,,,,,,,,,,,AMP_prac,left,0.7337606669025263,3,,,right,0.4662640930437192,,,,,,,,,,,,,,,,,,,,,,,,,1014,2019_May_16_1650,mf_amp_cond1,3.0.7,59.98124347096968,
slavery,&&&&&&&,images/symbols/symbol_23.png,condition_files/AMP_rep2.csv,right,loyalty.vice,,,,,,,,,,,,,,0,0,0,1,0,14,14,14,,,,,,,,,,,,,,,,,,,,,1281.5719656478213,,,,,,,,,,,,,,AMP_prac,left,0.7337606669025263,3,,,right,0.39929774123083916,,,,,,,,,,,,,,,,,,,,,,,,,1014,2019_May_16_1650,mf_amp_cond1,3.0.7,59.98124347096968,
energy,&&&&&&,images/symbols/symbol_58.png,condition_files/AMP_rep2.csv,left,sanctity.virtue,,,,,,,,,,,,,,0,0,0,1,0,15,15,15,,,,,,,,,,,,,,,,,,,,,1282.3888578320511,,,,,,,,,,,,,,AMP_prac,left,0.7337606669025263,3,,,left,0.5837349608191289,,,,,,,,,,,,,,,,,,,,,,,,,1014,2019_May_16_1650,mf_amp_cond1,3.0.7,59.98124347096968,
compassion,&&&&&&&&&&,images/symbols/symbol_72.png,condition_files/AMP_rep2.csv,left,care.virtue,,,,,,,,,,,,,,0,0,0,1,0,16,16,16,,,,,,,,,,,,,,,,,,,,,1283.2390476529545,,,,,,,,,,,,,,AMP_prac,left,0.7337606669025263,3,,,right,0.6322394376547891,,,,,,,,,,,,,,,,,,,,,,,,,1014,2019_May_16_1650,mf_amp_cond1,3.0.7,59.98124347096968,
freedom,&&&&&&&,images/symbols/symbol_48.png,condition_files/AMP_rep2.csv,left,sanctity.virtue,,,,,,,,,,,,,,0,0,0,1,0,17,17,17,,,,,,,,,,,,,,,,,,,,,1285.156243274807,,,,,,,,,,,,,,AMP_prac,left,0.7337606669025263,3,,,right,1.6995162509592774,,,,,,,,,,,,,,,,,,,,,,,,,1014,2019_May_16_1650,mf_amp_cond1,3.0.7,59.98124347096968,
benefit,&&&&&&&,images/symbols/symbol_2.png,condition_files/AMP_rep2.csv,left,fairness.virtue,,,,,,,,,,,,,,0,0,0,1,0,18,18,18,,,,,,,,,,,,,,,,,,,,,1286.1231650138143,,,,,,,,,,,,,,AMP_prac,left,0.7337606669025263,3,,,right,0.7490874580907985,,,,,,,,,,,,,,,,,,,,,,,,,1014,2019_May_16_1650,mf_amp_cond1,3.0.7,59.98124347096968,
accused,&&&&&&&,images/symbols/symbol_67.png,condition_files/AMP_rep2.csv,right,fairness.vice,,,,,,,,,,,,,,0,0,0,1,0,19,19,19,,,,,,,,,,,,,,,,,,,,,1286.923364440423,,,,,,,,,,,,,,AMP_prac,left,0.7337606669025263,3,,,left,0.5825880493503064,,,,,,,,,,,,,,,,,,,,,,,,,1014,2019_May_16_1650,mf_amp_cond1,3.0.7,59.98124347096968,
conspiracy,&&&&&&&&&&,images/symbols/symbol_4.png,condition_files/AMP_rep2.csv,right,sanctity.vice,,,,,,,,,,,,,,0,0,0,1,0,20,20,20,,,,,,,,,,,,,,,,,,,,,1287.6402549889535,,,,,,,,,,,,,,AMP_prac,left,0.7337606669025263,3,,,left,0.4993599938934494,,,,,,,,,,,,,,,,,,,,,,,,,1014,2019_May_16_1650,mf_amp_cond1,3.0.7,59.98124347096968,
