words,nonwords,mask,corr_ans,category,tweets,topic,AMP_prac_loop.thisRepN,AMP_prac_loop.thisTrialN,AMP_prac_loop.thisN,AMP_prac_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_prac_loop.thisRepN,LDT_prac_loop.thisTrialN,LDT_prac_loop.thisN,LDT_prac_loop.thisIndex,LDT_loop.thisRepN,LDT_loop.thisTrialN,LDT_loop.thisN,LDT_loop.thisIndex,tweet_loop.thisRepN,tweet_loop.thisTrialN,tweet_loop.thisN,tweet_loop.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,key_resp_AMP_instr1.rt,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP_prac.keys,resp_AMP_prac.rt,task,keypress,RT,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP.keys,resp_AMP.corr,resp_AMP.rt,corr,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,LDT_rating.response,LDT_rating.rt,key_resp_LDT_instr_2.keys,key_resp_LDT_instr_2.rt,resp_tweets.keys,resp_tweets.rt,participant,date,expName,psychopyVersion,frameRate,
credit,coom,&&&&,left,fairness.virtue,,,,,,,0,237,237,237,,,,,,,,,,,,,,,,,,,,,AMP,left,0.6170704977121204,,,left,1,0.6170704977121204,1,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
growth,ammessment,&&&&&&&&&&,left,care.virtue,,,,,,,0,238,238,238,,,,,,,,,,,,,,,,,,,,,AMP,right,0.5003962565679103,,,right,0,0.5003962565679103,0,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
protesters,shoirmaster,&&&&&&&&&&&,right,authority.vice,,,,,,,0,239,239,239,,,,,,,,,,,,,,,,,,,,,AMP,left,0.8671448259847239,,,left,0,0.8671448259847239,0,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
fighters,crinking,&&&&&&&&,right,authority.vice,,,,,,,0,240,240,240,,,,,,,,,,,,,,,,,,,,,AMP,left,0.7171317884931341,,,left,0,0.7171317884931341,0,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
victims,thadowed,&&&&&&&&,right,care.vice,,,,,,,0,241,241,241,,,,,,,,,,,,,,,,,,,,,AMP,left,0.5503896977752447,,,left,0,0.5503896977752447,0,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
sexual,laming,&&&&&&,right,sanctity.vice,,,,,,,0,242,242,242,,,,,,,,,,,,,,,,,,,,,AMP,left,0.4503659319598228,,,left,0,0.4503659319598228,0,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
crime,menizen,&&&&&&&,right,fairness.vice,,,,,,,0,243,243,243,,,,,,,,,,,,,,,,,,,,,AMP,left,0.7504901490174234,,,left,0,0.7504901490174234,0,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
baladroit,neputized,&&&&&&&&&,None,nonword,,,,,,,0,244,244,244,,,,,,,,,,,,,,,,,,,,,AMP,left,0.8671332799131051,,,left,0,0.8671332799131051,0,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
drug,drumbled,&&&&&&&&,right,sanctity.vice,,,,,,,0,245,245,245,,,,,,,,,,,,,,,,,,,,,AMP,left,0.81714272510726,,,left,0,0.81714272510726,0,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
refused,laming,&&&&&&,right,authority.vice,,,,,,,0,246,246,246,,,,,,,,,,,,,,,,,,,,,AMP,left,0.8671470710542053,,,left,0,0.8671470710542053,0,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
