words,nonwords,mask,corr_ans,category,AMP_prac_loop.thisRepN,AMP_prac_loop.thisTrialN,AMP_prac_loop.thisN,AMP_prac_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_prac_loop.thisRepN,LDT_prac_loop.thisTrialN,LDT_prac_loop.thisN,LDT_prac_loop.thisIndex,LDT_loop.thisRepN,LDT_loop.thisTrialN,LDT_loop.thisN,LDT_loop.thisIndex,tweet_loop.thisRepN,tweet_loop.thisTrialN,tweet_loop.thisN,tweet_loop.thisIndex,tweets,topic,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,key_resp_AMP_instr1.rt,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP_prac.keys,resp_AMP_prac.rt,task,keypress,RT,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP.keys,resp_AMP.corr,resp_AMP.rt,corr,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,LDT_rating.response,LDT_rating.rt,key_resp_LDT_instr_2.keys,key_resp_LDT_instr_2.rt,participant,date,expName,psychopyVersion,frameRate,
been,,&&&&,left,neutral,,,,,,,,,,,,,0,103,103,1,,,,,,,,,,,,,,,LDT,left,1.4506272756925682,,,,,,1,,,,,,,,,,,,,left,1,1.4506272756925682,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
photocalkodes,,&&&&&&&&&&&&&,right,nonword,,,,,,,,,,,,,0,104,104,166,,,,,,,,,,,,,,,LDT,right,1.100526714660873,,,,,,1,,,,,,,,,,,,,right,1,1.100526714660873,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
party,,&&&&&,left,loyalty.virtue,,,,,,,,,,,,,0,105,105,126,,,,,,,,,,,,,,,LDT,left,1.16722220315728,,,,,,1,,,,,,,,,,,,,left,1,1.16722220315728,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
forty,,&&&&&,left,neutral,,,,,,,,,,,,,0,106,106,8,,,,,,,,,,,,,,,LDT,left,0.6337420025035954,,,,,,1,,,,,,,,,,,,,left,1,0.6337420025035954,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
front,,&&&&&,left,neutral,,,,,,,,,,,,,0,107,107,7,,,,,,,,,,,,,,,LDT,left,0.567051004054747,,,,,,1,,,,,,,,,,,,,left,1,0.567051004054747,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
letish,,&&&&&&,right,nonword,,,,,,,,,,,,,0,108,108,52,,,,,,,,,,,,,,,LDT,right,0.567089169459905,,,,,,1,,,,,,,,,,,,,right,1,0.567089169459905,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
also,,&&&&,left,neutral,,,,,,,,,,,,,0,109,109,157,,,,,,,,,,,,,,,LDT,right,0.8838119991391977,,,,,,0,,,,,,,,,,,,,right,0,0.8838119991391977,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
reelectiob,,&&&&&&&&&&,right,nonword,,,,,,,,,,,,,0,110,110,69,,,,,,,,,,,,,,,LDT,right,0.6004255282300619,,,,,,1,,,,,,,,,,,,,right,1,0.6004255282300619,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
ning,,&&&&,right,nonword,,,,,,,,,,,,,0,111,111,187,,,,,,,,,,,,,,,LDT,left,0.7171228287813847,,,,,,0,,,,,,,,,,,,,left,0,0.7171228287813847,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
supervuned,,&&&&&&&&&&,right,nonword,,,,,,,,,,,,,0,112,112,77,,,,,,,,,,,,,,,LDT,right,0.5170347597038472,,,,,,1,,,,,,,,,,,,,right,1,0.5170347597038472,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
rebels,,&&&&&&,left,authority.vice,,,,,,,,,,,,,0,113,113,39,,,,,,,,,,,,,,,LDT,right,0.4837102674880498,,,,,,0,,,,,,,,,,,,,right,0,0.4837102674880498,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
elsewhere,,&&&&&&&&&,left,neutral,,,,,,,,,,,,,0,114,114,89,,,,,,,,,,,,,,,LDT,left,1.2338936378271228,,,,,,1,,,,,,,,,,,,,left,1,1.2338936378271228,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
edancipation,,&&&&&&&&&&&&,None,nonword,,,,,,,,,,,,,0,115,115,81,,,,,,,,,,,,,,,LDT,left,1.3172452787950988,,,,,,0,,,,,,,,,,,,,left,0,1.3172452787950988,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
nomaric,,&&&&&&&,None,nonword,,,,,,,,,,,,,0,116,116,10,,,,,,,,,,,,,,,LDT,right,0.7837737375189135,,,,,,0,,,,,,,,,,,,,right,0,0.7837737375189135,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
shoirmaster,,&&&&&&&&&&&,None,nonword,,,,,,,,,,,,,0,117,117,65,,,,,,,,,,,,,,,LDT,right,0.7504951079326929,,,,,,0,,,,,,,,,,,,,right,0,0.7504951079326929,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
dramens,,&&&&&&&,right,nonword,,,,,,,,,,,,,0,118,118,45,,,,,,,,,,,,,,,LDT,right,1.7172770939898783,,,,,,1,,,,,,,,,,,,,right,1,1.7172770939898783,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
drumbled,,&&&&&&&&,right,nonword,,,,,,,,,,,,,0,119,119,75,,,,,,,,,,,,,,,LDT,left,0.9004723209409349,,,,,,0,,,,,,,,,,,,,left,0,0.9004723209409349,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
corruption,,&&&&&&&&&&,left,sanctity.vice,,,,,,,,,,,,,0,120,120,173,,,,,,,,,,,,,,,LDT,right,0.8171264528912161,,,,,,0,,,,,,,,,,,,,right,0,0.8171264528912161,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
fontacts,,&&&&&&&&,right,nonword,,,,,,,,,,,,,0,121,121,142,,,,,,,,,,,,,,,LDT,right,0.8171142656190113,,,,,,1,,,,,,,,,,,,,right,1,0.8171142656190113,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
iptervention,,&&&&&&&&&&&&,right,nonword,,,,,,,,,,,,,0,122,122,28,,,,,,,,,,,,,,,LDT,right,0.7004397360235544,,,,,,1,,,,,,,,,,,,,right,1,0.7004397360235544,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
scalbel,,&&&&&&&,right,nonword,,,,,,,,,,,,,0,123,123,140,,,,,,,,,,,,,,,LDT,right,0.6504161151658536,,,,,,1,,,,,,,,,,,,,right,1,0.6504161151658536,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
lursuer,,&&&&&&&,right,nonword,,,,,,,,,,,,,0,124,124,29,,,,,,,,,,,,,,,LDT,right,0.733763266086271,,,,,,1,,,,,,,,,,,,,right,1,0.733763266086271,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
neutralust,,&&&&&&&&&&,right,nonword,,,,,,,,,,,,,0,125,125,53,,,,,,,,,,,,,,,LDT,right,1.2005277730295347,,,,,,1,,,,,,,,,,,,,right,1,1.2005277730295347,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
peace,,&&&&&,left,care.virtue,,,,,,,,,,,,,0,126,126,112,,,,,,,,,,,,,,,LDT,right,0.6170784735249981,,,,,,0,,,,,,,,,,,,,right,0,0.6170784735249981,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
scock,,&&&&&,right,nonword,,,,,,,,,,,,,0,127,127,59,,,,,,,,,,,,,,,LDT,right,0.8336312266137611,,,,,,1,,,,,,,,,,,,,right,1,0.8336312266137611,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
health,,&&&&&&,left,care.virtue,,,,,,,,,,,,,0,128,128,197,,,,,,,,,,,,,,,LDT,right,0.5504070388551554,,,,,,0,,,,,,,,,,,,,right,0,0.5504070388551554,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
