words,nonwords,mask,corr_ans,category,tweets,topic,AMP_pracloop.thisRepN,AMP_pracloop.thisTrialN,AMP_pracloop.thisN,AMP_pracloop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_pracloop.thisRepN,LDT_pracloop.thisTrialN,LDT_pracloop.thisN,LDT_pracloop.thisIndex,LDT_trials.thisRepN,LDT_trials.thisTrialN,LDT_trials.thisN,LDT_trials.thisIndex,tweet_loop.thisRepN,tweet_loop.thisTrialN,tweet_loop.thisN,tweet_loop.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,key_resp_AMP_instr1.rt,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP_prac.keys,resp_AMP_prac.rt,task,keypress,RT,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP.keys,resp_AMP.corr,resp_AMP.rt,corr,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,LDT_rating.response,LDT_rating.rt,key_resp_LDT_instr_2.keys,key_resp_LDT_instr_2.rt,resp_tweets.keys,resp_tweets.rt,participant,date,expName,psychopyVersion,frameRate,
elsewhere,,&&&&&&&&&,left,neutral,,,,,,,,,,,,,,,0,103,103,157,,,,,,,,,,,,,LDT,right,1.0171414478099905,,,,,,0,,,,,,,,,,,,,right,0,1.0171414478099905,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
although,,&&&&&&&&,left,neutral,,,,,,,,,,,,,,,0,104,104,191,,,,,,,,,,,,,LDT,right,0.8504415333154611,,,,,,0,,,,,,,,,,,,,right,0,0.8504415333154611,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
chonograph,,&&&&&&&&&&,right,nonword,,,,,,,,,,,,,,,0,105,105,47,,,,,,,,,,,,,LDT,left,0.6837319972692057,,,,,,0,,,,,,,,,,,,,left,0,0.6837319972692057,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
seem,,&&&&,left,neutral,,,,,,,,,,,,,,,0,106,106,48,,,,,,,,,,,,,LDT,right,0.6003749842057005,,,,,,0,,,,,,,,,,,,,right,0,0.6003749842057005,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
fifteen,,&&&&&&&,left,neutral,,,,,,,,,,,,,,,0,107,107,109,,,,,,,,,,,,,LDT,right,1.1505222261184826,,,,,,0,,,,,,,,,,,,,right,0,1.1505222261184826,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
crinking,,&&&&&&&&,right,nonword,,,,,,,,,,,,,,,0,108,108,55,,,,,,,,,,,,,LDT,left,0.6337104770354927,,,,,,0,,,,,,,,,,,,,left,0,0.6337104770354927,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
good,,&&&&,left,care.virtue,,,,,,,,,,,,,,,0,109,109,126,,,,,,,,,,,,,LDT,right,0.5837158971989993,,,,,,0,,,,,,,,,,,,,right,0,0.5837158971989993,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
forty,,&&&&&,left,neutral,,,,,,,,,,,,,,,0,110,110,142,,,,,,,,,,,,,LDT,right,1.5672745781193953,,,,,,0,,,,,,,,,,,,,right,0,1.5672745781193953,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
praise,,&&&&&&,left,authority.virtue,,,,,,,,,,,,,,,0,111,111,85,,,,,,,,,,,,,LDT,right,3.667792282096343,,,,,,0,,,,,,,,,,,,,right,0,3.667792282096343,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
fangsters,,&&&&&&&&&,right,nonword,,,,,,,,,,,,,,,0,112,112,78,,,,,,,,,,,,,LDT,left,0.5837088413827587,,,,,,0,,,,,,,,,,,,,left,0,0.5837088413827587,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
with,,&&&&,left,neutral,,,,,,,,,,,,,,,0,113,113,123,,,,,,,,,,,,,LDT,right,0.7670976697118022,,,,,,0,,,,,,,,,,,,,right,0,0.7670976697118022,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
threatened,,&&&&&&&&&&,left,fairness.vice,,,,,,,,,,,,,,,0,114,114,11,,,,,,,,,,,,,LDT,right,1.1505097181070596,,,,,,0,,,,,,,,,,,,,right,0,1.1505097181070596,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
strofe,,&&&&&&,right,nonword,,,,,,,,,,,,,,,0,115,115,49,,,,,,,,,,,,,LDT,left,0.7170649243635125,,,,,,0,,,,,,,,,,,,,left,0,0.7170649243635125,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
